# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.120        0.000       87.316      148.086
       0.236        3.125       87.633      148.285
       0.359        5.917       88.246      148.934
       0.486        0.000       88.246      148.934
       0.611        0.000       88.320      148.934
       0.735        0.000       88.320      148.934
       0.860        0.000       88.320      148.934
       0.989        0.000       88.629      149.035
       1.128        0.000       88.629      149.035
       1.253        0.000       88.629      149.035
       1.379        0.000       88.629      149.035
       1.511        1.042       20.902       11.391
       1.634        0.000       20.902       11.391
