# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000      610.367      860.461
       0.123       40.625      607.766      848.875
       0.249       40.625      620.598      859.332
       0.377       19.792      623.141      861.852
       0.504       32.325      630.902      849.980
       0.630       28.125      637.266      856.281
       0.756       42.708      640.809      858.152
       0.882       29.167      644.367      861.656
       1.008       16.667      627.965      844.027
       1.136       21.875      637.660      854.898
       1.261       20.833      640.457      857.184
       1.375       25.083      644.289      860.719
       1.501       34.167      647.812      860.500
       1.626       29.867      646.715      859.105
       1.750       18.750      635.281      849.754
       1.874       18.750      638.191      847.309
       1.998       33.333      645.957      854.801
       2.126       23.958      643.098      853.746
       2.251       12.500      632.867      844.125
       2.363       13.017      634.867      846.246
       2.486        7.292      634.938      846.320
       2.610        8.333      634.941      846.320
       2.736        8.333      635.172      846.594
       2.848        7.292      635.184      846.602
       2.964        9.558      634.160      844.570
       3.085        1.042      634.000      844.242
       3.216        0.000      634.000      844.242
       3.339        0.000      634.000      844.242
       3.462        1.042      634.504      844.242
