# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.004        0.000      577.328      835.789
       0.132       38.783      605.246      863.797
       0.256       31.250      614.949      873.113
       0.381       33.450      626.727      856.109
       0.506       12.500      624.152      851.078
       0.616       14.583      631.926      863.418
       0.729       18.942      635.973      860.410
       0.854       18.750      636.973      861.121
       0.965       16.725      639.891      868.500
       1.091       10.417      639.945      868.547
       1.203       26.042      641.898      862.547
       1.314       25.083      645.598      866.176
       1.426       11.942      645.883      871.426
       1.551       11.458      645.910      871.453
       1.662       11.833      647.480      865.754
       1.786       16.667      647.531      865.805
       1.912       10.417      649.238      871.840
       2.023       14.583      649.844      872.445
       2.135       16.725      653.441      867.980
       2.261        9.375      653.441      867.980
       2.372       28.675      655.668      874.414
       2.501       10.417      655.672      874.418
       2.627       12.500      655.684      874.422
       2.738        8.283      657.625      868.418
       2.851       11.942      657.723      868.547
       2.976       15.700      657.809      868.621
       3.102       20.833      660.125      874.949
       3.214       33.450      661.418      876.230
       3.338       17.708      663.160      877.953
       3.464        7.292      656.945      872.035
       3.575        5.917      656.949      872.035
       3.685        3.583      656.949      872.035
       3.797        7.167      656.949      872.035
       3.909       27.225      659.738      875.387
       4.037       31.250      644.094      860.098
       4.149        9.375      644.539      860.484
       4.274        4.167      643.609      858.547
       4.401        0.000      643.609      858.547
       4.527        0.000      643.609      858.547
       4.653        0.000      643.594      858.520
